WRN 2026-07-22T19:14:56.661 ui.14      tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-07-22T19:14:56.662 ui.14      tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-22T19:14:56.663 ui.14      tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 3
WRN 2026-07-22T19:14:56.664 ui.14      tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-07-22T19:14:56.665 ui.14      tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-07-22T19:15:19.349 ui.17      tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-07-22T19:15:19.352 ui.17      tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-22T19:15:19.353 ui.17      tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 3
WRN 2026-07-22T19:15:19.354 ui.17      tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-07-22T19:15:19.355 ui.17      tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-07-22T19:15:34.724 ui.14      tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-07-22T19:15:34.725 ui.14      tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-22T19:15:34.726 ui.14      tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 3
WRN 2026-07-22T19:15:34.727 ui.14      tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-07-22T19:15:34.728 ui.14      tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-07-22T19:16:42.583 ui.35      tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-07-22T19:16:42.584 ui.35      tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-22T19:16:42.586 ui.35      tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 3
WRN 2026-07-22T19:16:42.587 ui.35      tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-07-22T19:16:42.588 ui.35      tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-07-22T19:16:47.240 ui.37      tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-07-22T19:16:47.241 ui.37      tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-22T19:16:47.242 ui.37      tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 3
WRN 2026-07-22T19:16:47.242 ui.37      tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-07-22T19:16:47.243 ui.37      tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-07-22T19:17:56.676 ui.40      tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-07-22T19:17:56.677 ui.40      tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-22T19:17:56.678 ui.40      tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 3
WRN 2026-07-22T19:17:56.679 ui.40      tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-07-22T19:17:56.680 ui.40      tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-07-22T19:18:19.000 ui.48      tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-07-22T19:18:19.001 ui.48      tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-22T19:18:19.002 ui.48      tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 3
WRN 2026-07-22T19:18:19.003 ui.48      tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-07-22T19:18:19.004 ui.48      tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-07-22T19:18:26.844 ui.50      tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-07-22T19:18:26.845 ui.50      tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-22T19:18:26.846 ui.50      tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 3
WRN 2026-07-22T19:18:26.847 ui.50      tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-07-22T19:18:26.848 ui.50      tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
